topic,question_id,answer_claim,dissertation_location,authoritative_source,source_key_or_row,stable_id,evidence_hash,human_adjudicated,limitation,verification_status
corpus,Q032,414 candidates,Ch4 T4.1,data/manifests/phase1_decision_journal.json,totals.decisions=414,phase1_journal,814cc7c47a9f75bfc0a6c7b693feec7073e59131398d89fab7c9111fbb2e5e06,no,not accepted decisions,verified_map
corpus,Q033,351/414 traceability,Ch4 T4.1,data/manifests/phase1_decision_journal.json,totals.traceability_pass=351,phase1_journal,814cc7c47a9f75bfc0a6c7b693feec7073e59131398d89fab7c9111fbb2e5e06,no,not validity,verified_map
triangulation,Q035,5/10/0,Ch4 T4.2,configs/annotations/excerpts/,agreement/silence/dissonance,manual_6,see_examiner_SHA256SUMS,yes,six excerpts,verified_map
baseline,Q036,keyword 1/6,App B,docs/BASELINE_KEYWORD.md,1/6,keyword,hash_only_doc,yes,not full IR,verified_map
baseline,Q036b,LLM 5/6,App B,docs/examiner_evidence/EXAMINER_EVIDENCE_MAP.md,5/6 agreement-row,llm_agree,hash_only_map,yes,agreement-row,verified_map
n50,Q037,21/50 no×high,Ch4 §4.5,configs/evaluation/confidence_validation_sample.json,A=no B=high,n50,9d74936c490de586c126bd4ad059cc20345702655a3a9f3b2455677d195d8169,yes,stratified,verified_map
kappa,Q039,rule κ 0.48,Ch4 T4.3,configs/evaluation/confidence_comparison_results.json,metrics.rule_vs_human_b.weighted_kappa=0.4813,kappa_rule,e197b7f28d2bb08ab2dc3160aacf2cccd528938deebdf5298647a8a502103852,yes,moderate,verified_map
kappa,Q040,LLM κ 0.39,Ch4 T4.3,configs/evaluation/confidence_comparison_results.json,metrics.llm_vs_human_b.weighted_kappa=0.3927,kappa_llm,e197b7f28d2bb08ab2dc3160aacf2cccd528938deebdf5298647a8a502103852,yes,moderate,verified_map
kappa,Q039b,rule exact agreement 0.80,Ch4 T4.3,configs/evaluation/confidence_comparison_results.json,metrics.rule_vs_human_b.exact_agreement=0.8,exact_rule,e197b7f28d2bb08ab2dc3160aacf2cccd528938deebdf5298647a8a502103852,yes,not kappa,verified_map
kappa,Q040b,LLM exact agreement 0.76,Ch4 T4.3,configs/evaluation/confidence_comparison_results.json,metrics.llm_vs_human_b.exact_agreement=0.76,exact_llm,e197b7f28d2bb08ab2dc3160aacf2cccd528938deebdf5298647a8a502103852,yes,not kappa,verified_map
clusters,Q042,20 clusters,Ch4 §4.6,data/manifests/phase1_clustering_report.json,n_clusters=20,clusters,08a6bf8d48191978403bcaa146c6714b4fe2c7dc38ffd16a2b5c469ccbedaa8c,no,navigational,verified_map
jee,Q043,JEE 11/60,Ch4 T4.4,outputs/framework_mapping/run_20260727_133838_post60_analytical_audit_E_final/AUDIT_E_JEE_SUMMARY.csv,mapped=11,audit_e,499b82c045713821f8610788b395b4ef6f82342b1577bbc6380d00fbfd326200,yes,interpretive,verified_map
dq,Q043b,DQ 37/60,Ch4 T4.4,outputs/framework_mapping/run_20260727_133838_post60_analytical_audit_E_final/AUDIT_E_DQ_SUMMARY.csv,mapped=37,audit_e,2bdd445b3fa7782ac831e626d862d5661feab7c0c6e253302afd75725784c049,yes,interpretive,verified_map
combined,Q044,26/60 combined,Ch4 T4.4,outputs/framework_mapping/run_20260727_133838_post60_analytical_audit_E_final/crosstabs/AUDIT_E_jee_vs_dq_mapped.csv,unmapped×mapped=26,audit_e,773724149e29f2314e6d7b9c28ab3006ba73cb010322e17e8c722496c691f51d,yes,purposive,verified_map
faithfulness,Q045,8/25/20/7,Ch4 T4.5,outputs/framework_mapping/run_20260727_133838_post60_analytical_audit_E_final/AUDIT_E_MANIFEST.json,traceability_category_counts,audit_e,8262948f55a04950983dcc146073a51822422237fdc8d92abf966c377c4bcd20,yes,single reviewer,verified_map
pilot,Q046,50/53,Ch4 §4.8,docs/REPORT_PILOT.md,50/53,report_pilot,hash_only_doc,partial,supplementary,verified_map
structural,Q046b,49/50,Ch4 §4.8,configs/evaluation/structural_reliability_results.json,summary.structural_pass_count=49,structural,8c9ce78f9eecfe0165f5a0ccda84670f3a6c4bb4777f2b45d3a848b093c07eba,no,not semantic,verified_map
demo,Q038,phase1-082 No×High,Ch4; demo,demo/evidence/phase1-082.json,rubric_a=no rubric_b=high,phase1-082,9b131dc2b403f51a3a1de366ee56793c6ff255986a57e683d525297963cca2c0,yes,centrepiece,verified_map
demo,Q054,phase1-090 faithfulness,Ch4 T4.5,demo/evidence/phase1-090.json,materially_unsupported_or_altered,phase1-090,7e94f16177c4ce820f956d64d27dfd9a1798e91627cb7e372ac43b0ba25ed430,yes,purposive,verified_map
demo,demo-016,phase1-016 Yes×High,demo,demo/evidence/phase1-016.json,yes/high,phase1-016,e5d28326427f4108ed97922bf444a4467ce807e4aa198277e2ba46d6cd3a2953,yes,alignment,verified_map
demo,demo-246,phase1-246 JEE/DQ,demo,demo/evidence/phase1-246.json,P3 + commitment_to_follow_through,phase1-246,30e2cf20540de86b618cc3790b006148fb50905e3c51b35c404dab88099440ee,yes,interpretive,verified_map
