entry_id,field,old_value,new_value,selected_consistency_action,consistency_reason,human_review_status
phase1-003,human_JEE_rationale,"The passage clearly recommends broader Cabinet Office coordination, but it does not provide evidence of a specific JEE public-health or IHR capacity.","The passage clearly criticises the Civil Contingencies Secretariat's remit as too narrow, but it neither makes an explicit Cabinet Office recommendation nor evidences a specific JEE public-health or IHR capacity.",edit_rationale,"The JEE status and other labels are consistent, but the current JEE rationale says the passage clearly recommends broader Cabinet Office coordination, which conflicts with the validated source and the overall rationale.",HUMAN_CONFIRMED
phase1-161,human_primary_DQ,useful_information,commitment_to_follow_through,edit_multiple_fields,"The source's clearest function is to report that the recommended closure was carried out and announced, rather than to record the separate authorisation decision. Commitment is therefore the strongest DQ element and implementation_statement is the consistent statement type.",HUMAN_CONFIRMED
phase1-161,human_secondary_DQ,commitment_to_follow_through,useful_information,edit_multiple_fields,"The source's clearest function is to report that the recommended closure was carried out and announced, rather than to record the separate authorisation decision. Commitment is therefore the strongest DQ element and implementation_statement is the consistent statement type.",HUMAN_CONFIRMED
phase1-161,human_DQ_rationale,The excerpt shows that SAGE advice informed the decision and that the recommendation was implemented and announced.,"The passage presents the content of SAGE's recommendation—to close schools—and confirms that the measure was implemented and announced nationally. Implementation is the strongest observable element, with the specific advice as secondary useful information.",edit_multiple_fields,"The source's clearest function is to report that the recommended closure was carried out and announced, rather than to record the separate authorisation decision. Commitment is therefore the strongest DQ element and implementation_statement is the consistent statement type.",HUMAN_CONFIRMED
phase1-161,human_overall_rationale,"This entry records an enacted national school-closure decision. It shows that SAGE advice informed the choice and that the measure was implemented and publicly announced, although it does not evidence a specific JEE system capacity.","This passage records implementation and national announcement of a school-closure measure following a specific SAGE recommendation. It shows commitment to follow through and observable use of advice, but it does not evidence a specific JEE capacity.",edit_multiple_fields,"The source's clearest function is to report that the recommended closure was carried out and announced, rather than to record the separate authorisation decision. Commitment is therefore the strongest DQ element and implementation_statement is the consistent statement type.",HUMAN_CONFIRMED
phase1-161,human_candidate_statement_type,enacted_or_authorised_decision,implementation_statement,edit_multiple_fields,"The source's clearest function is to report that the recommended closure was carried out and announced, rather than to record the separate authorisation decision. Commitment is therefore the strongest DQ element and implementation_statement is the consistent statement type.",HUMAN_CONFIRMED
phase1-182,human_secondary_JEE,P1,,edit_JEE,"The passage directly supports R4 through a care-home staff-movement restriction. The existing rationale and overall rationale correctly state that the use of regulations does not independently establish P1, so the inherited P1 secondary must be cleared.",HUMAN_CONFIRMED
phase1-246,human_secondary_JEE,R5,,edit_multiple_fields,"P3 is directly supported by the cross-agency agreement. R5 was a weaker communication-related association rather than an independently evidenced second JEE capacity, and its removal also resolves the invalid secondary-mapping status combination.",HUMAN_CONFIRMED
phase1-246,human_JEE_rationale,"The passage provides evidence of multisectoral coordination between health and education bodies on a public-health communication action. P3 is the primary fit, with R5 as a secondary communication-related area.","The passage directly evidences multisectoral coordination between health and education bodies on a public-health communication action, supporting P3. The single agreed messaging action does not independently establish a broader R5 risk-communication or community-engagement capacity.",edit_multiple_fields,"P3 is directly supported by the cross-agency agreement. R5 was a weaker communication-related association rather than an independently evidenced second JEE capacity, and its removal also resolves the invalid secondary-mapping status combination.",HUMAN_CONFIRMED
phase1-246,human_overall_rationale,"This entry records an authorised cross-agency decision on school messaging about long-term Covid-19 symptoms. It supports P3 coordination, with R5 as a secondary communication-related area, and shows commitment to follow through through the agreed signposting action, although the excerpt does not confirm that the action was delivered.","This entry records an authorised cross-agency decision on school messaging about long-term Covid-19 symptoms. It supports P3 coordination and shows commitment to follow through through the agreed signposting action, although the excerpt does not confirm delivery.",edit_multiple_fields,"P3 is directly supported by the cross-agency agreement. R5 was a weaker communication-related association rather than an independently evidenced second JEE capacity, and its removal also resolves the invalid secondary-mapping status combination.",HUMAN_CONFIRMED
phase1-311,human_JEE_decision,replace,no_mapping,edit_multiple_fields,"The R5 mapping depended on importing the meaning of the first three Es from another record. Under the passage-level rule, the present excerpt clearly supports a policing-policy judgement but not a specific JEE capacity, so no_mapping is more consistent.",HUMAN_CONFIRMED
phase1-311,human_primary_JEE,R5,,edit_multiple_fields,"The R5 mapping depended on importing the meaning of the first three Es from another record. Under the passage-level rule, the present excerpt clearly supports a policing-policy judgement but not a specific JEE capacity, so no_mapping is more consistent.",HUMAN_CONFIRMED
phase1-311,human_JEE_confidence,medium,high,edit_multiple_fields,"The R5 mapping depended on importing the meaning of the first three Es from another record. Under the passage-level rule, the present excerpt clearly supports a policing-policy judgement but not a specific JEE capacity, so no_mapping is more consistent.",HUMAN_CONFIRMED
phase1-311,human_JEE_evidence,the message was simple: enforcement was the last resort after the first three Es had been undertaken,,edit_multiple_fields,"The R5 mapping depended on importing the meaning of the first three Es from another record. Under the passage-level rule, the present excerpt clearly supports a policing-policy judgement but not a specific JEE capacity, so no_mapping is more consistent.",HUMAN_CONFIRMED
phase1-311,human_JEE_rationale,"The passage describes an engagement-first approach in which enforcement followed earlier communication and encouragement measures. This supports R5, although the three preceding Es are not spelled out in this entry.","The passage clearly evaluates enforcement as a last resort within the four-Es policing approach, but this excerpt does not identify the preceding Es or otherwise evidence a specific JEE risk-communication or community-engagement capacity.",edit_multiple_fields,"The R5 mapping depended on importing the meaning of the first three Es from another record. Under the passage-level rule, the present excerpt clearly supports a policing-policy judgement but not a specific JEE capacity, so no_mapping is more consistent.",HUMAN_CONFIRMED
phase1-311,human_overall_rationale,"This traceable passage retrospectively describes and evaluates the COVID-19 policing approach, under which engagement measures preceded enforcement. It supports R5 and expresses a preference for enforcement only as a last resort, but it does not record a new decision or recommendation.","This traceable passage retrospectively evaluates enforcement as a last resort after the first three Es. It expresses a clear preference for less coercive measures before enforcement, but the excerpt alone does not support a specific JEE capacity.",edit_multiple_fields,"The R5 mapping depended on importing the meaning of the first three Es from another record. Under the passage-level rule, the present excerpt clearly supports a policing-policy judgement but not a specific JEE capacity, so no_mapping is more consistent.",HUMAN_CONFIRMED
phase1-382,human_secondary_DQ,helpful_frame,useful_information,edit_multiple_fields,"The current rationale describes external recommendations as information, while the secondary label is helpful_frame. Useful_information is the consistent secondary label because the passage states the content of the advice and its use.",HUMAN_CONFIRMED
phase1-382,human_DQ_rationale,"The external group’s recommendations provided information for the change, and the phrase ""which I did"" explicitly confirms that the recommended leadership change was implemented.","The passage presents the content of an external recommendation—a change in Covid Taskforce leadership—and confirms that it was implemented. This directly supports commitment to follow through, with the specific external advice as secondary useful information.",edit_multiple_fields,"The current rationale describes external recommendations as information, while the secondary label is helpful_frame. Useful_information is the consistent secondary label because the passage states the content of the advice and its use.",HUMAN_CONFIRMED
phase1-382,human_overall_rationale,"This traceability-failed passage records implementation of a Covid Taskforce leadership change following recommendations from an external group. It demonstrates commitment to follow through and some framing of organisational change, but the taskforce's specific JEE health-emergency-management function is not established.","This traceability-failed passage records implementation of a Covid Taskforce leadership change following a specific external recommendation. It demonstrates commitment to follow through and observable use of external advice, while the taskforce's specific JEE health-emergency-management function remains insufficiently specified.",edit_multiple_fields,"The current rationale describes external recommendations as information, while the secondary label is helpful_frame. Useful_information is the consistent secondary label because the passage states the content of the advice and its use.",HUMAN_CONFIRMED
