model,repetition,excerpt_id,raw_path,chunk_calls,candidates
gpt-4o-mini,1,excerpt_001,raw_responses\gpt-4o-mini\rep1\excerpt_001.json,2,2
gpt-4o-mini,1,excerpt_002,raw_responses\gpt-4o-mini\rep1\excerpt_002.json,3,3
gpt-4o-mini,1,excerpt_003,raw_responses\gpt-4o-mini\rep1\excerpt_003.json,1,0
gpt-4o-mini,1,excerpt_004,raw_responses\gpt-4o-mini\rep1\excerpt_004.json,2,0
gpt-4o-mini,1,excerpt_005,raw_responses\gpt-4o-mini\rep1\excerpt_005.json,1,0
gpt-4o-mini,1,excerpt_006,raw_responses\gpt-4o-mini\rep1\excerpt_006.json,3,0
gpt-4o-mini,2,excerpt_001,raw_responses\gpt-4o-mini\rep2\excerpt_001.json,2,2
gpt-4o-mini,2,excerpt_002,raw_responses\gpt-4o-mini\rep2\excerpt_002.json,3,2
gpt-4o-mini,2,excerpt_003,raw_responses\gpt-4o-mini\rep2\excerpt_003.json,1,0
gpt-4o-mini,2,excerpt_004,raw_responses\gpt-4o-mini\rep2\excerpt_004.json,2,0
gpt-4o-mini,2,excerpt_005,raw_responses\gpt-4o-mini\rep2\excerpt_005.json,1,0
gpt-4o-mini,2,excerpt_006,raw_responses\gpt-4o-mini\rep2\excerpt_006.json,3,0
gpt-4o-mini,3,excerpt_001,raw_responses\gpt-4o-mini\rep3\excerpt_001.json,2,2
gpt-4o-mini,3,excerpt_002,raw_responses\gpt-4o-mini\rep3\excerpt_002.json,3,2
gpt-4o-mini,3,excerpt_003,raw_responses\gpt-4o-mini\rep3\excerpt_003.json,1,0
gpt-4o-mini,3,excerpt_004,raw_responses\gpt-4o-mini\rep3\excerpt_004.json,2,0
gpt-4o-mini,3,excerpt_005,raw_responses\gpt-4o-mini\rep3\excerpt_005.json,1,0
gpt-4o-mini,3,excerpt_006,raw_responses\gpt-4o-mini\rep3\excerpt_006.json,3,0
gpt-4o,1,excerpt_001,raw_responses\gpt-4o\rep1\excerpt_001.json,2,0
gpt-4o,1,excerpt_002,raw_responses\gpt-4o\rep1\excerpt_002.json,3,0
gpt-4o,1,excerpt_003,raw_responses\gpt-4o\rep1\excerpt_003.json,1,0
gpt-4o,1,excerpt_004,raw_responses\gpt-4o\rep1\excerpt_004.json,2,0
gpt-4o,1,excerpt_005,raw_responses\gpt-4o\rep1\excerpt_005.json,1,0
gpt-4o,1,excerpt_006,raw_responses\gpt-4o\rep1\excerpt_006.json,3,0
gpt-4o,2,excerpt_001,raw_responses\gpt-4o\rep2\excerpt_001.json,2,0
gpt-4o,2,excerpt_002,raw_responses\gpt-4o\rep2\excerpt_002.json,3,1
gpt-4o,2,excerpt_003,raw_responses\gpt-4o\rep2\excerpt_003.json,1,0
gpt-4o,2,excerpt_004,raw_responses\gpt-4o\rep2\excerpt_004.json,2,0
gpt-4o,2,excerpt_005,raw_responses\gpt-4o\rep2\excerpt_005.json,1,0
gpt-4o,2,excerpt_006,raw_responses\gpt-4o\rep2\excerpt_006.json,3,0
gpt-4o,3,excerpt_001,raw_responses\gpt-4o\rep3\excerpt_001.json,2,0
gpt-4o,3,excerpt_002,raw_responses\gpt-4o\rep3\excerpt_002.json,3,2
gpt-4o,3,excerpt_003,raw_responses\gpt-4o\rep3\excerpt_003.json,1,0
gpt-4o,3,excerpt_004,raw_responses\gpt-4o\rep3\excerpt_004.json,2,0
gpt-4o,3,excerpt_005,raw_responses\gpt-4o\rep3\excerpt_005.json,1,0
gpt-4o,3,excerpt_006,raw_responses\gpt-4o\rep3\excerpt_006.json,3,0
