entry_id,record_category,original_human_adjudication_complete,original_reviewer,original_review_date,audit_d_flagged,audit_d_ai_recommendation,audit_d_human_review_action,audit_d_human_review_status,new_human_confirmation_in_audit_d,defensible_description
phase1-007,consistency_human_reviewed_keep,True,AL,2026-07-26,True,keep_all,ai_keep_all_unreviewed_interactively,AI_ASSISTED_KEEP_ALL,no_interactive_re_review,Original manual human adjudication retained; Audit D applied AI-assisted keep_all without interactive re-review
phase1-018,consistency_human_reviewed_keep,True,AL,2026-07-26,True,keep_all,ai_keep_all_unreviewed_interactively,AI_ASSISTED_KEEP_ALL,no_interactive_re_review,Original manual human adjudication retained; Audit D applied AI-assisted keep_all without interactive re-review
phase1-050,consistency_human_reviewed_keep,True,AL,2026-07-26,True,keep_all,ai_keep_all_unreviewed_interactively,AI_ASSISTED_KEEP_ALL,no_interactive_re_review,Original manual human adjudication retained; Audit D applied AI-assisted keep_all without interactive re-review
phase1-057,consistency_human_reviewed_keep,True,AL,2026-07-26,True,keep_all,ai_keep_all_unreviewed_interactively,AI_ASSISTED_KEEP_ALL,no_interactive_re_review,Original manual human adjudication retained; Audit D applied AI-assisted keep_all without interactive re-review
phase1-124,consistency_human_reviewed_keep,True,AL,2026-07-26,True,keep_all,ai_keep_all_unreviewed_interactively,AI_ASSISTED_KEEP_ALL,no_interactive_re_review,Original manual human adjudication retained; Audit D applied AI-assisted keep_all without interactive re-review
phase1-161,consistency_human_reviewed_corrected,True,AL,2026-07-26,True,edit_multiple_fields,approve_ai_exact,HUMAN_CONFIRMED,yes_interactive_confirmation,Original manual human adjudication complete; Audit D interactive human confirmation of AI-proposed corrections
phase1-314,consistency_human_reviewed_keep,True,AL,2026-07-26,True,keep_all,ai_keep_all_unreviewed_interactively,AI_ASSISTED_KEEP_ALL,no_interactive_re_review,Original manual human adjudication retained; Audit D applied AI-assisted keep_all without interactive re-review
phase1-321,consistency_human_reviewed_keep,True,AL,2026-07-26,True,keep_all,ai_keep_all_unreviewed_interactively,AI_ASSISTED_KEEP_ALL,no_interactive_re_review,Original manual human adjudication retained; Audit D applied AI-assisted keep_all without interactive re-review
phase1-396,consistency_human_reviewed_keep,True,AL,2026-07-26,True,keep_all,ai_keep_all_unreviewed_interactively,AI_ASSISTED_KEEP_ALL,no_interactive_re_review,Original manual human adjudication retained; Audit D applied AI-assisted keep_all without interactive re-review
phase1-111,consistency_human_reviewed_keep,True,AL,2026-07-26,True,keep_all,ai_keep_all_unreviewed_interactively,AI_ASSISTED_KEEP_ALL,no_interactive_re_review,Original manual human adjudication retained; Audit D applied AI-assisted keep_all without interactive re-review
phase1-217,consistency_human_reviewed_keep,True,AL,2026-07-26,True,keep_all,ai_keep_all_unreviewed_interactively,AI_ASSISTED_KEEP_ALL,no_interactive_re_review,Original manual human adjudication retained; Audit D applied AI-assisted keep_all without interactive re-review
phase1-246,consistency_human_reviewed_corrected,True,AL,2026-07-26,True,edit_multiple_fields,approve_ai_exact,HUMAN_CONFIRMED,yes_interactive_confirmation,Original manual human adjudication complete; Audit D interactive human confirmation of AI-proposed corrections
phase1-252,consistency_human_reviewed_keep,True,AL,2026-07-26,True,keep_all,ai_keep_all_unreviewed_interactively,AI_ASSISTED_KEEP_ALL,no_interactive_re_review,Original manual human adjudication retained; Audit D applied AI-assisted keep_all without interactive re-review
phase1-276,consistency_human_reviewed_keep,True,AL,2026-07-26,True,keep_all,ai_keep_all_unreviewed_interactively,AI_ASSISTED_KEEP_ALL,no_interactive_re_review,Original manual human adjudication retained; Audit D applied AI-assisted keep_all without interactive re-review
phase1-003,consistency_human_reviewed_corrected,True,AL,2026-07-26,True,edit_rationale,approve_ai_exact,HUMAN_CONFIRMED,yes_interactive_confirmation,Original manual human adjudication complete; Audit D interactive human confirmation of AI-proposed corrections
phase1-020,consistency_human_reviewed_keep,True,AL,2026-07-26,True,keep_all,ai_keep_all_unreviewed_interactively,AI_ASSISTED_KEEP_ALL,no_interactive_re_review,Original manual human adjudication retained; Audit D applied AI-assisted keep_all without interactive re-review
phase1-053,consistency_human_reviewed_keep,True,AL,2026-07-26,True,keep_all,ai_keep_all_unreviewed_interactively,AI_ASSISTED_KEEP_ALL,no_interactive_re_review,Original manual human adjudication retained; Audit D applied AI-assisted keep_all without interactive re-review
phase1-378,consistency_human_reviewed_keep,True,AL,2026-07-26,True,keep_all,ai_keep_all_unreviewed_interactively,AI_ASSISTED_KEEP_ALL,no_interactive_re_review,Original manual human adjudication retained; Audit D applied AI-assisted keep_all without interactive re-review
phase1-166,consistency_human_reviewed_keep,True,AL,2026-07-26,True,keep_all,ai_keep_all_unreviewed_interactively,AI_ASSISTED_KEEP_ALL,no_interactive_re_review,Original manual human adjudication retained; Audit D applied AI-assisted keep_all without interactive re-review
phase1-198,consistency_human_reviewed_keep,True,AL,2026-07-26,True,keep_all,ai_keep_all_unreviewed_interactively,AI_ASSISTED_KEEP_ALL,no_interactive_re_review,Original manual human adjudication retained; Audit D applied AI-assisted keep_all without interactive re-review
phase1-326,consistency_human_reviewed_keep,True,AL,2026-07-26,True,keep_all,ai_keep_all_unreviewed_interactively,AI_ASSISTED_KEEP_ALL,no_interactive_re_review,Original manual human adjudication retained; Audit D applied AI-assisted keep_all without interactive re-review
phase1-375,consistency_human_reviewed_keep,True,AL,2026-07-26,True,keep_all,ai_keep_all_unreviewed_interactively,AI_ASSISTED_KEEP_ALL,no_interactive_re_review,Original manual human adjudication retained; Audit D applied AI-assisted keep_all without interactive re-review
phase1-380,consistency_human_reviewed_keep,True,AL,2026-07-26,True,keep_all,ai_keep_all_unreviewed_interactively,AI_ASSISTED_KEEP_ALL,no_interactive_re_review,Original manual human adjudication retained; Audit D applied AI-assisted keep_all without interactive re-review
phase1-382,consistency_human_reviewed_corrected,True,AL,2026-07-26,True,edit_multiple_fields,approve_ai_exact,HUMAN_CONFIRMED,yes_interactive_confirmation,Original manual human adjudication complete; Audit D interactive human confirmation of AI-proposed corrections
phase1-048,consistency_human_reviewed_keep,True,AL,2026-07-26,True,keep_all,ai_keep_all_unreviewed_interactively,AI_ASSISTED_KEEP_ALL,no_interactive_re_review,Original manual human adjudication retained; Audit D applied AI-assisted keep_all without interactive re-review
phase1-204,consistency_human_reviewed_keep,True,AL,2026-07-27,True,keep_all,ai_keep_all_unreviewed_interactively,AI_ASSISTED_KEEP_ALL,no_interactive_re_review,Original manual human adjudication retained; Audit D applied AI-assisted keep_all without interactive re-review
phase1-207,consistency_human_reviewed_keep,True,AL,2026-07-27,True,keep_all,ai_keep_all_unreviewed_interactively,AI_ASSISTED_KEEP_ALL,no_interactive_re_review,Original manual human adjudication retained; Audit D applied AI-assisted keep_all without interactive re-review
phase1-209,consistency_human_reviewed_keep,True,AL,2026-07-27,True,keep_all,ai_keep_all_unreviewed_interactively,AI_ASSISTED_KEEP_ALL,no_interactive_re_review,Original manual human adjudication retained; Audit D applied AI-assisted keep_all without interactive re-review
phase1-366,consistency_human_reviewed_keep,True,AL,2026-07-27,True,keep_all,ai_keep_all_unreviewed_interactively,AI_ASSISTED_KEEP_ALL,no_interactive_re_review,Original manual human adjudication retained; Audit D applied AI-assisted keep_all without interactive re-review
phase1-079,consistency_human_reviewed_keep,True,AL,2026-07-27,True,keep_all,ai_keep_all_unreviewed_interactively,AI_ASSISTED_KEEP_ALL,no_interactive_re_review,Original manual human adjudication retained; Audit D applied AI-assisted keep_all without interactive re-review
phase1-106,consistency_human_reviewed_keep,True,AL,2026-07-27,True,keep_all,ai_keep_all_unreviewed_interactively,AI_ASSISTED_KEEP_ALL,no_interactive_re_review,Original manual human adjudication retained; Audit D applied AI-assisted keep_all without interactive re-review
