question_id,category,difficulty,question,answer_anchor,evidence_reference,admission_or_caveat,unsafe_overclaim_to_avoid
Q001,fundamentals,foundational,What problem did the dissertation address?,Convert complex public inquiry text into auditable candidate decision-journal entries without treating LLM output as authoritative.,Ch1 §§1.1–1.2,Case-study scope only,We solved pandemic decision-making
Q002,fundamentals,foundational,What was the exact research aim?,Read exact Ch1 aim: design and evaluate an LLM-assisted method for traceable candidate decision-journal entries using Module 2 as case study.,Ch1 §1.3,Do not rewrite aim,Aim was to verify government decisions
Q003,fundamentals,foundational,What were the research questions?,No numbered RQs in Ch1; Aim + Objectives 1–6 are the formal framing.,Ch1 §1.3,Do not invent RQ1–RQn,We had four RQs
Q004,fundamentals,probing,Why are public inquiry transcripts suitable?,"Public, citable, decision-rich discourse with mixed speech acts; reproducible corpus.",Ch1.1,One module/eight hearings,Works for all inquiries
Q005,fundamentals,probing,Why is this an AI project rather than document processing?,LLM generates structured candidates; contribution is governing those candidates.,Ch3; Ch1.6,Not a new base model,Pure NLP parsing without LLM
Q006,fundamentals,foundational,What is the central contribution?,"Governed workflow separating machine candidates, automated checks, human validation and source evidence.",Ch1.6; Ch5,Not an auto-verified catalogue,Production policy engine
Q007,fundamentals,probing,What is genuinely novel?,Operational separation of constructs plus frozen examiner-auditable artefacts on this case — not SOTA extraction.,Ch1.6,Builds on known LLM risks,First ever LLM on transcripts
Q008,fundamentals,probing,Why useful for policymaking?,Supports institutional memory / retrospective review with inspectable route — not automated policy.,Ch1.6,Prototype only,Ready for operational use
Q009,fundamentals,foundational,What does the system not claim to do?,Not deployed; not authoritative decisions; not byte-identical regen; not multi-model generalisation.,Ch1.4; reproducibility limits,Keep list tight,It verifies truth
Q010,methodology,foundational,Why clean and segment transcript text?,Reduce noise; enable localisable chunks for provenance.,Ch3,May drop context,Perfect cleaning
Q011,methodology,probing,Why seven-sentence chunks with overlap two?,Balance context and localisation for quote anchoring.,Ch3,Boundary effects,Universal optimum
Q012,methodology,foundational,Why a structured candidate schema?,Forces decision/evidence/location fields for audit.,Ch3,May bias toward decision-shaped text,Schema proves validity
Q013,methodology,probing,Why the temperature/prompt configuration?,Favour reproducibility; Phase 1 notes emphasise low temperature.,Ch3; structural reliability production_note,Model-specific,Config is optimal forever
Q014,methodology,foundational,How were stable IDs assigned?,phase1-NNN identifiers in frozen journal enabling lineage.,phase1_decision_journal.json,Study-local IDs,Global standard IDs
Q015,methodology,probing,How was deduplication handled?,Non-destructive review flags rather than silent deletion.,Ch3/Ch4 flags,Heuristic flags,All duplicates removed automatically
Q016,methodology,foundational,How is traceability_ok calculated?,Mechanical link of generated statement to source material in chunk — not validity/faithfulness.,journal totals; validate_traceability,Approximation,Hallucination detector
Q017,methodology,adversarial,Why freeze model output before evaluation?,Separate generation from evaluation; prevent moving targets; lock SHA.,journal SHA 814cc7c4…,Historical snapshot,Live API is identical
