slide_id,slide_title,claim,dissertation_location,authoritative_source,source_key_or_row,stable_id,evidence_hash,visual_source,human_adjudicated,caveat,verification_status
S01,Generated text is not authoritative evidence,Contribution is a governed workflow separating machine candidates automated checks human validation and source evidence — not an auto-verified policy catalogue,Ch1 §1.6; Ch5 contribution,dissertation/CHAPTER_1_INTRODUCTION.md §1.6,contribution paragraphs,methodological_contribution,n/a (prose),title + stage chips,yes (author framing),Do not describe system as deployed,verified_against_ch1
S02,Inquiry transcripts hide decisions in long mixed discourse,Public inquiry records contain decision evidence that is lengthy dispersed and easy to misread as authoritative if LLM output is accepted at face value,Ch1 §§1.1–1.2,dissertation/CHAPTER_1_INTRODUCTION.md,problem statement,problem_ch1,n/a (prose),discourse-type sketch,yes,Not a claim about all inquiries,verified_against_ch1
S03,Aim traceable candidates under human oversight,Exact aim: design and evaluate an LLM-assisted method for creating traceable candidate decision-journal entries from complex public records using UK COVID-19 Inquiry Module 2 as a case study,Ch1 §1.3,dissertation/CHAPTER_1_INTRODUCTION.md §1.3 Aim,exact aim sentence,aim_exact,n/a (prose),aim box + objective labels,yes,No numbered RQs in Ch1 — use Aim+Objectives 1–6 only,verified_exact_aim
S04,Generation checks human review and source stay separate,Workflow keeps public source chunking LLM candidate mechanical traceability fixed reference dataset human review and interpretation visibly separate,Ch3; Ch1.6,dissertation/CHAPTER_3_METHODS.md; demo/index.html workflow,two-phase pipeline,workflow_frozen,n/a,coloured workflow diagram,partial,Prototype not production,verified_methods_demo_align
S05,Evaluation is layered not a single accuracy number,Evaluation uses six manuals n=42 taxonomy n=50 stratified validation confidence comparison clustering n=60 JEE/DQ+faithfulness report-pilot and structural reliability — not one accuracy metric,Ch3–Ch4 overview,docs/examiner_evidence/EXAMINER_EVIDENCE_MAP.md,layered evaluation inventory,eval_layers,n/a,evaluation strip,yes (design),Do not report a single system F1,verified_map
S06a,Headline findings corpus,414 candidates produced,Ch4 Table 4.1,data/manifests/phase1_decision_journal.json,totals.decisions=414,phase1_journal,814cc7c47a9f75bfc0a6c7b693feec7073e59131398d89fab7c9111fbb2e5e06,number callout,no,Candidates not accepted decisions,verified
S06b,Headline findings corpus,351/414 pass mechanical traceability,Ch4 Table 4.1,data/manifests/phase1_decision_journal.json,totals.traceability_pass=351,phase1_journal,814cc7c47a9f75bfc0a6c7b693feec7073e59131398d89fab7c9111fbb2e5e06,number callout,no,Traceability ≠ journal validity,verified
S06c,Headline findings triangulation,Triangulation 5 agreement / 10 silence / 0 dissonance,Ch4 Table 4.2,configs/annotations/excerpts/excerpt_00{1-6}.json,comparison tags count,manual_excerpts_6,see SHA256SUMS examiner_evidence,small triad,yes,Bounded to six manuals,verified_map
S06d,Headline findings baseline,Keyword recall 1/6 versus LLM agreement-row recall 5/6,Ch4; App B Table B.4,docs/BASELINE_KEYWORD.md + excerpts,aggregate 1/6 and 5/6,keyword_vs_llm,n/a,paired fraction,yes (manual gold),Agreement-row recall not full IR metric over 414,verified_map
S06e,Headline findings n50,no × high = 21/50,Ch4 §4.5 Fig 4.9,configs/evaluation/confidence_validation_sample.json,count Rubric A=no & B=high,n50_sample,9d74936c490de586… (full in SHA256SUMS),crosstab highlight,yes,Stratified sample not all 414,verified
S06f,Headline findings kappa,Rule weighted kappa = 0.48 vs Rubric B,Ch4 Table 4.3,configs/evaluation/confidence_comparison_results.json,metrics.rule_vs_human_b.weighted_kappa=0.4813,kappa_rule,e197b7f28d2bb08a…,kappa callout,yes (Rubric B),Moderate; not replace human,verified
S06g,Headline findings kappa,LLM weighted kappa = 0.39 vs Rubric B,Ch4 Table 4.3,configs/evaluation/confidence_comparison_results.json,metrics.llm_vs_human_b.weighted_kappa=0.3927,kappa_llm,e197b7f28d2bb08a…,kappa callout,yes,Moderate; cached model scores,verified
S06h,Headline findings clustering,20 exploratory clusters,Ch4 §4.6 Fig 4.10,data/manifests/phase1_clustering_report.json,n_clusters=20,clusters,08a6bf8d48191978…,optional size chart,no,Navigational not validity,verified
S06i,Headline findings JEE,JEE mapped = 11/60,Ch4 Table 4.4,outputs/framework_mapping/run_20260727_133838_post60_analytical_audit_E_final/AUDIT_E_JEE_SUMMARY.csv,mapped=11,audit_e_jee,499b82c045713821f8610788b395b4ef6f82342b1577bbc6380d00fbfd326200,fraction,yes,Purposive n=60; interpretive,verified
S06j,Headline findings DQ,Decision Quality mapped = 37/60,Ch4 Table 4.4,…/AUDIT_E_DQ_SUMMARY.csv,mapped=37,audit_e_dq,2bdd445b3fa7782ac831e626d862d5661feab7c0c6e253302afd75725784c049,fraction,yes,Observable element ≠ good decision,verified
S06k,Headline findings combined,Combined unmapped JEE × mapped DQ = 26/60,Ch4 Table 4.4,…/crosstabs/AUDIT_E_jee_vs_dq_mapped.csv,unmapped×mapped count=26,audit_e_crosstab,773724149e29f2314e6d7b9c28ab3006ba73cb010322e17e8c722496c691f51d,fraction,yes,Most frequent combined cell in pilot,verified
S06l,Headline findings faithfulness,Faithfulness 8 / 25 / 20 / 7,Ch4 Table 4.5,…/AUDIT_E_MANIFEST.json,traceability_category_counts exact=8 paraphrase=25 materially_unsupported=20 traceability_false=7,audit_e_faith,8262948f55a04950983dcc146073a51822422237fdc8d92abf966c377c4bcd20,four-part bar,yes,Single reviewer; not corpus error rate,verified
S06m,Headline findings report pilot,Report pilot 50/53,Ch4 §4.8 App B.6,docs/REPORT_PILOT.md,50/53 narrative freeze,report_pilot,n/a (prose lock),fraction,partial,Supplementary non-inquiry check,verified_map
S06n,Headline findings structural,Structural reliability 49/50,Ch4 §4.8 App B.7,configs/evaluation/structural_reliability_results.json,summary.structural_pass_count=49 total_outputs=50,structural,8c9ce78f9eecfe01…,fraction,no,Schema/structure not semantic validity,verified
S07,Quote support ≠ journal membership,phase1-082 is No × High wrong-artefact: adjournment language strongly supported yet not a policy journal entry,Ch4 §4.5; demo case,demo/evidence/phase1-082.json,rubric_a=no rubric_b=high review_flags=procedural,phase1-082,9b131dc2b403f51a3a1de366ee56793c6ff255986a57e683d525297963cca2c0,candidate vs quote + A/B chips,yes,Centrepiece; do not say model always fails,verified_wave4
S08a,Supporting Yes×High,phase1-016 Yes × High alignment of traceability and journal validity,Ch4; demo,demo/evidence/phase1-016.json,rubric_a=yes rubric_b=high,phase1-016,e5d28326427f4108ed97922bf444a4467ce807e4aa198277e2ba46d6cd3a2953,mini card,yes,Not corpus-wide accuracy proof,verified_wave4
S08b,Supporting faithfulness,phase1-090 materially_unsupported_or_altered — source available ≠ meaning preserved,Ch4 Table 4.5 theme; demo,demo/evidence/phase1-090.json,faithfulness_category=materially_unsupported_or_altered,phase1-090,7e94f16177c4ce820f956d64d27dfd9a1798e91627cb7e372ac43b0ba25ed430,side-by-side Q vs claim,yes,Purposive illustration,verified_wave4
S08c,Supporting frameworks,phase1-246 JEE P3 + DQ commitment_to_follow_through after validated source — interpretive aid only,Ch4 Table 4.4; demo,demo/evidence/phase1-246.json,jee_primary=P3 dq_primary=commitment_to_follow_through,phase1-246,30e2cf20540de86b618cc3790b006148fb50905e3c51b35c404dab88099440ee,mapping card + warning,yes,Not judgement that performance was good,verified_wave4
S09,Contribution governance of route,Four contributions: methodological system/artefact empirical governance — not SOTA extraction algorithm,Ch1 §1.6; Ch5,dissertation/CHAPTER_1_INTRODUCTION.md §1.6,four contribution paragraphs,contrib_4,n/a,four blocks,yes,Do not claim novelty as new base model,verified_ch1
S10,Claims stay bounded,Limitations: one inquiry one main model single-reviewer frozen outputs live regen not byte-identical moderate agreement interpretive mappings,Ch1.4; Ch5; Wave3 limits,docs/examiner_evidence/REPRODUCIBILITY_LIMITS.md; Ch5,limitation inventory,limits,n/a,limit chips,yes,No defensiveness; no soft deletion of limits,verified_docs
S11,Next steps replication,Future: multi-reviewer cross-inquiry model comparison domain calibration controlled access governance,Ch5 future/scaling,dissertation Chapter 5,future work,future,n/a,five lines,yes,Not a product roadmap,verified_theme
S12,Closing inspectable route,“The system does not replace authoritative inquiry evidence or human policy judgement. It makes the route from source evidence to machine-generated candidate and human interpretation inspectable and auditable.”,Ch5 close; Wave4 walkthrough close,docs/presentation/PRESENTATION_STORYBOARD.md S12; demo/DEMO_WALKTHROUGH.md,closing statement,close_quote,n/a,closing quote slide,yes,No live authority claim,verified_alignment
