model,repetition,excerpt_id,raw_path,endpoint,reasoning_effort,temperature,chunk_calls,candidates
gpt-5.6-terra,1,excerpt_001,raw_responses_extended\gpt-5.6-terra\rep1\excerpt_001.json,chat.completions,none,omitted_api_default,2,2
gpt-5.6-terra,1,excerpt_002,raw_responses_extended\gpt-5.6-terra\rep1\excerpt_002.json,chat.completions,none,omitted_api_default,3,4
gpt-5.6-terra,1,excerpt_003,raw_responses_extended\gpt-5.6-terra\rep1\excerpt_003.json,chat.completions,none,omitted_api_default,1,0
gpt-5.6-terra,1,excerpt_004,raw_responses_extended\gpt-5.6-terra\rep1\excerpt_004.json,chat.completions,none,omitted_api_default,2,0
gpt-5.6-terra,1,excerpt_005,raw_responses_extended\gpt-5.6-terra\rep1\excerpt_005.json,chat.completions,none,omitted_api_default,1,0
gpt-5.6-terra,1,excerpt_006,raw_responses_extended\gpt-5.6-terra\rep1\excerpt_006.json,chat.completions,none,omitted_api_default,3,0
gpt-5.6-terra,2,excerpt_001,raw_responses_extended\gpt-5.6-terra\rep2\excerpt_001.json,chat.completions,none,omitted_api_default,2,2
gpt-5.6-terra,2,excerpt_002,raw_responses_extended\gpt-5.6-terra\rep2\excerpt_002.json,chat.completions,none,omitted_api_default,3,4
gpt-5.6-terra,2,excerpt_003,raw_responses_extended\gpt-5.6-terra\rep2\excerpt_003.json,chat.completions,none,omitted_api_default,1,0
gpt-5.6-terra,2,excerpt_004,raw_responses_extended\gpt-5.6-terra\rep2\excerpt_004.json,chat.completions,none,omitted_api_default,2,0
gpt-5.6-terra,2,excerpt_005,raw_responses_extended\gpt-5.6-terra\rep2\excerpt_005.json,chat.completions,none,omitted_api_default,1,0
gpt-5.6-terra,2,excerpt_006,raw_responses_extended\gpt-5.6-terra\rep2\excerpt_006.json,chat.completions,none,omitted_api_default,3,0
gpt-5.6-terra,3,excerpt_001,raw_responses_extended\gpt-5.6-terra\rep3\excerpt_001.json,chat.completions,none,omitted_api_default,2,2
gpt-5.6-terra,3,excerpt_002,raw_responses_extended\gpt-5.6-terra\rep3\excerpt_002.json,chat.completions,none,omitted_api_default,3,4
gpt-5.6-terra,3,excerpt_003,raw_responses_extended\gpt-5.6-terra\rep3\excerpt_003.json,chat.completions,none,omitted_api_default,1,0
gpt-5.6-terra,3,excerpt_004,raw_responses_extended\gpt-5.6-terra\rep3\excerpt_004.json,chat.completions,none,omitted_api_default,2,0
gpt-5.6-terra,3,excerpt_005,raw_responses_extended\gpt-5.6-terra\rep3\excerpt_005.json,chat.completions,none,omitted_api_default,1,0
gpt-5.6-terra,3,excerpt_006,raw_responses_extended\gpt-5.6-terra\rep3\excerpt_006.json,chat.completions,none,omitted_api_default,3,0
gpt-5.6-sol,1,excerpt_001,raw_responses_extended\gpt-5.6-sol\rep1\excerpt_001.json,chat.completions,none,omitted_api_default,2,2
gpt-5.6-sol,1,excerpt_002,raw_responses_extended\gpt-5.6-sol\rep1\excerpt_002.json,chat.completions,none,omitted_api_default,3,4
gpt-5.6-sol,1,excerpt_003,raw_responses_extended\gpt-5.6-sol\rep1\excerpt_003.json,chat.completions,none,omitted_api_default,1,0
gpt-5.6-sol,1,excerpt_004,raw_responses_extended\gpt-5.6-sol\rep1\excerpt_004.json,chat.completions,none,omitted_api_default,2,1
gpt-5.6-sol,1,excerpt_005,raw_responses_extended\gpt-5.6-sol\rep1\excerpt_005.json,chat.completions,none,omitted_api_default,1,0
gpt-5.6-sol,1,excerpt_006,raw_responses_extended\gpt-5.6-sol\rep1\excerpt_006.json,chat.completions,none,omitted_api_default,3,0
gpt-5.6-sol,2,excerpt_001,raw_responses_extended\gpt-5.6-sol\rep2\excerpt_001.json,chat.completions,none,omitted_api_default,2,2
gpt-5.6-sol,2,excerpt_002,raw_responses_extended\gpt-5.6-sol\rep2\excerpt_002.json,chat.completions,none,omitted_api_default,3,4
gpt-5.6-sol,2,excerpt_003,raw_responses_extended\gpt-5.6-sol\rep2\excerpt_003.json,chat.completions,none,omitted_api_default,1,0
gpt-5.6-sol,2,excerpt_004,raw_responses_extended\gpt-5.6-sol\rep2\excerpt_004.json,chat.completions,none,omitted_api_default,2,0
gpt-5.6-sol,2,excerpt_005,raw_responses_extended\gpt-5.6-sol\rep2\excerpt_005.json,chat.completions,none,omitted_api_default,1,0
gpt-5.6-sol,2,excerpt_006,raw_responses_extended\gpt-5.6-sol\rep2\excerpt_006.json,chat.completions,none,omitted_api_default,3,1
gpt-5.6-sol,3,excerpt_001,raw_responses_extended\gpt-5.6-sol\rep3\excerpt_001.json,chat.completions,none,omitted_api_default,2,2
gpt-5.6-sol,3,excerpt_002,raw_responses_extended\gpt-5.6-sol\rep3\excerpt_002.json,chat.completions,none,omitted_api_default,3,4
gpt-5.6-sol,3,excerpt_003,raw_responses_extended\gpt-5.6-sol\rep3\excerpt_003.json,chat.completions,none,omitted_api_default,1,0
gpt-5.6-sol,3,excerpt_004,raw_responses_extended\gpt-5.6-sol\rep3\excerpt_004.json,chat.completions,none,omitted_api_default,2,0
gpt-5.6-sol,3,excerpt_005,raw_responses_extended\gpt-5.6-sol\rep3\excerpt_005.json,chat.completions,none,omitted_api_default,1,0
gpt-5.6-sol,3,excerpt_006,raw_responses_extended\gpt-5.6-sol\rep3\excerpt_006.json,chat.completions,none,omitted_api_default,3,1
gpt-5.6-luna,1,excerpt_001,raw_responses_extended\gpt-5.6-luna\rep1\excerpt_001.json,chat.completions,none,omitted_api_default,2,2
gpt-5.6-luna,1,excerpt_002,raw_responses_extended\gpt-5.6-luna\rep1\excerpt_002.json,chat.completions,none,omitted_api_default,3,0
gpt-5.6-luna,1,excerpt_003,raw_responses_extended\gpt-5.6-luna\rep1\excerpt_003.json,chat.completions,none,omitted_api_default,1,0
gpt-5.6-luna,1,excerpt_004,raw_responses_extended\gpt-5.6-luna\rep1\excerpt_004.json,chat.completions,none,omitted_api_default,2,1
gpt-5.6-luna,1,excerpt_005,raw_responses_extended\gpt-5.6-luna\rep1\excerpt_005.json,chat.completions,none,omitted_api_default,1,0
gpt-5.6-luna,1,excerpt_006,raw_responses_extended\gpt-5.6-luna\rep1\excerpt_006.json,chat.completions,none,omitted_api_default,3,0
gpt-5.6-luna,2,excerpt_001,raw_responses_extended\gpt-5.6-luna\rep2\excerpt_001.json,chat.completions,none,omitted_api_default,2,2
gpt-5.6-luna,2,excerpt_002,raw_responses_extended\gpt-5.6-luna\rep2\excerpt_002.json,chat.completions,none,omitted_api_default,3,0
gpt-5.6-luna,2,excerpt_003,raw_responses_extended\gpt-5.6-luna\rep2\excerpt_003.json,chat.completions,none,omitted_api_default,1,0
gpt-5.6-luna,2,excerpt_004,raw_responses_extended\gpt-5.6-luna\rep2\excerpt_004.json,chat.completions,none,omitted_api_default,2,0
