entry_id,hearing_date,decision,evidence,source_quote,traceability_ok,review_flags,candidate_statement_type,top_3_JEE_candidates,JEE_similarity_values,top_3_JEE_definitions,proposed_primary_JEE_area,proposed_secondary_JEE_area,JEE_mapping_status,JEE_primary_similarity,JEE_secondary_similarity,JEE_inclusion_rule,JEE_exclusion_rules_considered,JEE_evidence_excerpt,JEE_ambiguous,JEE_all_candidates_rejected,top_3_DQ_candidates,DQ_similarity_values,top_3_DQ_definitions,proposed_primary_DQ_element,proposed_secondary_DQ_element,DQ_mapping_status,DQ_primary_similarity,DQ_secondary_similarity,DQ_evidence_excerpt,DQ_observable_indicator,DQ_exclusion_rules_considered,DQ_ambiguity_notes,ambiguity_notes,representation,human_review_required,human_candidate_statement_type,human_JEE_decision,human_primary_JEE,human_secondary_JEE,human_JEE_evidence,human_JEE_confidence,human_JEE_rationale,human_DQ_decision,human_primary_DQ,human_secondary_DQ,human_DQ_evidence,human_DQ_confidence,human_DQ_rationale,human_policy_vs_inquiry,human_overall_rationale,reviewer_name,review_date,review_status,deferred_flag,completed_at,last_touched_at,session_id
phase1-007,2023-11-28,"Countermeasures were ordered to be imposed on 12 March, requiring those displaying symptoms of coronavirus to self-isolate for seven days.","Now of course, as it happened, you are well aware, that on 12 March the first countermeasures were ordered to be imposed.","Now of course, as it happened, you are well aware, that on 12 March the first countermeasures were ordered to be imposed.",False,[],enacted_or_authorised_decision,PoE:0.3212; D2:0.3167; P4:0.3122,0.3212; 0.3167; 0.3122,"PoE (Points of entry and border health) [0.3212]: Timely detection of and effective response to any potential hazards that occur at PoEs. || D2 (Surveillance) [0.3167]: (1) A functioning public health surveillance system capable of identifying potential events of concern for public health and health security. Enhanced national  || P4 (Antimicrobial resistance (AMR)) [0.3122]: Decisive and comprehensive action to prevent the emergence and spread of AMR, which poses a substantial and evolving threat to disease control and health securi",,,no_supported_mapping,,,,PoE:no_inclusion_cue_overlap_and_moderate_or_low_similarity; D2:no_inclusion_cue_overlap_and_moderate_or_low_similarity; P4:unlikely_area_without_textual_inclusion_support,"Countermeasures were ordered to be imposed on 12 March, requiring those displaying symptoms of coronavirus to self-isolate for seven days.",False,True,useful_information:0.2833; commitment_to_follow_through:0.2376; clear_values:0.2248,0.2833; 0.2376; 0.2248,"useful_information (Useful information) [0.2833]: Relevant facts, data, modelling, advice or uncertainty characterisation used in the passage. || commitment_to_follow_through (Commitment to follow through) [0.2376]: Evidence of intent or mechanism to implement or act on the chosen course. || clear_values (Clear values) [0.2248]: Stated preferences, priorities or trade-offs that identify what mattered in the choice.",commitment_to_follow_through,,ambiguous,0.2376,,"Countermeasures were ordered to be imposed on 12 March, requiring those displaying symptoms of coronavirus to self-isolate for seven days.",ordered,recommendation≠commitment rule applied where relevant,Weak textual gate / moderate similarity,All top-3 retrieved JEE candidates rejected by inclusion/exclusion rules.,journal_cache_decision_evidence_source_quote__framework_card_embeddings,True,enacted_or_authorised_decision,insufficient_evidence,,,,high,The source confirms that unspecified countermeasures were ordered on 12 March but does not identify the measures or the JEE capacity involved.,accept,commitment_to_follow_through,,on 12 March the first countermeasures were ordered to be imposed,high,The excerpt explicitly shows commitment to follow through because the countermeasures were authorised and tied to a specific implementation date.,policy_content,"This traceability-failed excerpt nevertheless supports that unspecified countermeasures were authorised on 12 March. It shows commitment to follow through, but the added self-isolation details are unsupported and the source is too thin for JEE mapping.",AL,2026-07-26,complete,,2026-07-26T11:21:39.348256+00:00,2026-07-26T11:21:39.348256+00:00,82a2570c7078
phase1-018,2023-11-28,The witness believes the Prime Minister made the case for his decision in public well.,I believe that he made the case for it in public well.,I believe that he made the case for it in public well.,True,[],other_candidate,P2:0.2128; P3:0.2052; R2:0.1962,0.2128; 0.2052; 0.1962,"P2 (Financing) [0.2128]: Financial resources are available in all relevant sectors and public financial management systems enable IHR implementation including core capacity development  || P3 (IHR coordination, National IHR Focal Point functions and advocacy) [0.2052]: A mechanism for multisectoral/multidisciplinary coordination, communication and partnerships to detect, assess and respond to any public health event or risk. A || R2 (Linking public health and security authorities) [0.1962]: Development and implementation of a MoU or other similar framework outlining roles, responsibilities and best practices for sharing relevant information between",,,insufficient_evidence,,,,P2:no_inclusion_cue_overlap_and_moderate_or_low_similarity; P3:no_inclusion_cue_overlap_and_moderate_or_low_similarity; R2:no_inclusion_cue_overlap_and_moderate_or_low_similarity,The witness believes the Prime Minister made the case for his decision in public well.,False,True,sound_reasoning:0.3192; commitment_to_follow_through:0.2862; useful_information:0.2703,0.3192; 0.2862; 0.2703,"sound_reasoning (Sound reasoning) [0.3192]: Linking alternatives, information and values to justify why a course was preferred. || commitment_to_follow_through (Commitment to follow through) [0.2862]: Evidence of intent or mechanism to implement or act on the chosen course. || useful_information (Useful information) [0.2703]: Relevant facts, data, modelling, advice or uncertainty characterisation used in the passage.",,,insufficient_evidence,,,,,top retrieved DQ cards lacked explicit process evidence in text,Sparse DQ is acceptable; non-observation ≠ absence.,All top-3 retrieved JEE candidates rejected by inclusion/exclusion rules.,journal_cache_decision_evidence_source_quote__framework_card_embeddings,True,retrospective_judgement,insufficient_evidence,,,,high,The excerpt is too brief and evaluative to determine whether it evidences a JEE risk-communication capacity or any other JEE technical area.,insufficient_evidence,,,,high,"The excerpt gives an opinion about communication quality but does not show observable evidence of framing, alternatives, information use, values, reasoning or implementation commitment.",policy_content,"The passage is a retrospective judgement that an unspecified case was made well in public. The actor and subject are not identified in the excerpt, so no JEE or Decision Quality mapping is supported.",AL,2026-07-26,complete,,2026-07-26T13:00:38.747565+00:00,2026-07-26T14:35:19.863209+00:00,4557843c5733
phase1-050,2023-11-30,An action plan for infection control measures was drafted by the department.,The department was drafting what became the action plan.,"Yes, the department was drafting what became the action plan.",True,[],other_candidate,P4:0.3793; R4:0.3792; D1:0.3242,0.3793; 0.3792; 0.3242,"P4 (Antimicrobial resistance (AMR)) [0.3793]: Decisive and comprehensive action to prevent the emergence and spread of AMR, which poses a substantial and evolving threat to disease control and health securi || R4 (Infection prevention and control) [0.3792]: Prevent HCAIs and emergence and spread of AMR. || D1 (National laboratory system) [0.3242]: Effective use of a nationwide laboratory system, including all relevant sectors, capable of safely and accurately detecting and characterizing pathogens causing",R4,,ambiguous_substantive,0.3792,,"inclusion cue token overlap: ['control', 'infection']",P4:unlikely_area_without_textual_inclusion_support; D1:no_inclusion_cue_overlap_and_moderate_or_low_similarity,An action plan for infection control measures was drafted by the department.,True,False,commitment_to_follow_through:0.3381; helpful_frame:0.2552; useful_information:0.2457,0.3381; 0.2552; 0.2457,"commitment_to_follow_through (Commitment to follow through) [0.3381]: Evidence of intent or mechanism to implement or act on the chosen course. || helpful_frame (Helpful frame) [0.2552]: Clarifying what is being decided and what is not, including purpose, scope and perspective (Decision Education Foundation). || useful_information (Useful information) [0.2457]: Relevant facts, data, modelling, advice or uncertainty characterisation used in the passage.",,,insufficient_evidence,,,,,top retrieved DQ cards lacked explicit process evidence in text,Sparse DQ is acceptable; non-observation ≠ absence.,Low margin / weak cue overlap,journal_cache_decision_evidence_source_quote__framework_card_embeddings,True,implementation_statement,insufficient_evidence,,,,high,The source confirms that the department was drafting an action plan but does not identify its subject or any specific JEE capacity.,replace,commitment_to_follow_through,,The department was drafting what became the action plan.,medium,"Drafting what became the action plan shows progress toward a planned course, although the source does not confirm approval or implementation.",policy_content,"This traceable passage records departmental drafting of an unspecified action plan. It is an implementation statement and provides moderate evidence of follow-through, but the added infection-control description is unsupported and no JEE mapping can be made.",AL,2026-07-26,complete,,2026-07-26T13:22:39.732981+00:00,2026-07-26T14:36:38.201262+00:00,4557843c5733
phase1-057,2023-11-30,An action plan was commissioned by the government on 10 February.,The action plan was dated 3 March. You requested in an email to Kevin Dodds that the work be commenced.,"You requested in an email to Kevin Dodds that the work be commenced. It was developed under the leadership, according to Sir Christopher Wormald, of the DHSC.",True,[],implementation_statement,P3:0.3464; P4:0.3403; R1:0.3394,0.3464; 0.3403; 0.3394,"P3 (IHR coordination, National IHR Focal Point functions and advocacy) [0.3464]: A mechanism for multisectoral/multidisciplinary coordination, communication and partnerships to detect, assess and respond to any public health event or risk. A || P4 (Antimicrobial resistance (AMR)) [0.3403]: Decisive and comprehensive action to prevent the emergence and spread of AMR, which poses a substantial and evolving threat to disease control and health securi || R1 (Health emergency management) [0.3394]: Multisectoral actors at national intermediate and primary public health response levels are well coordinated and have a common understanding of the priority ris",,,no_supported_mapping,,,,P3:no_inclusion_cue_overlap_and_moderate_or_low_similarity; P4:unlikely_area_without_textual_inclusion_support; R1:no_inclusion_cue_overlap_and_moderate_or_low_similarity,An action plan was commissioned by the government on 10 February.,False,True,commitment_to_follow_through:0.3530; useful_information:0.2188; clear_values:0.2146,0.3530; 0.2188; 0.2146,"commitment_to_follow_through (Commitment to follow through) [0.3530]: Evidence of intent or mechanism to implement or act on the chosen course. || useful_information (Useful information) [0.2188]: Relevant facts, data, modelling, advice or uncertainty characterisation used in the passage. || clear_values (Clear values) [0.2146]: Stated preferences, priorities or trade-offs that identify what mattered in the choice.",,,insufficient_evidence,,,,,top retrieved DQ cards lacked explicit process evidence in text,Sparse DQ is acceptable; non-observation ≠ absence.,All top-3 retrieved JEE candidates rejected by inclusion/exclusion rules.,journal_cache_decision_evidence_source_quote__framework_card_embeddings,True,enacted_or_authorised_decision,insufficient_evidence,,,,medium,"The excerpt confirms that an action plan was commissioned, but it does not identify the plan's subject clearly enough to assign a specific JEE technical area.",replace,commitment_to_follow_through,,You requested in an email to Kevin Dodds that the work be commenced.,high,The request to commence work is explicit evidence of authorising action and commitment to implement the action plan.,policy_content,"This entry records an authorised decision to commission an action plan and begin work. The commissioning decision is clear, although the visible evidence does not identify the plan's subject sufficiently for JEE mapping and does not substantiate the extracted date of 10 February",AL,2026-07-26,complete,,2026-07-26T13:30:22.322006+00:00,2026-07-26T13:30:22.322006+00:00,70f38e4f78b9
phase1-124,2023-12-07,To continue to tighten the national measures and implement a tiered system on October 14th.,"We decided to do was to continue to tighten the measures that we -- the national measures that we had, but also on October 14th to go for the tiered system.","With respect, what we decided to do was to continue to tighten the measures that we -- the national measures that we had, but also on October 14th to go for the tiered system.",True,"[""possible_duplicate""]",enacted_or_authorised_decision,D2:0.3018; D1:0.3001; P4:0.2997,0.3018; 0.3001; 0.2997,"D2 (Surveillance) [0.3018]: (1) A functioning public health surveillance system capable of identifying potential events of concern for public health and health security. Enhanced national  || D1 (National laboratory system) [0.3001]: Effective use of a nationwide laboratory system, including all relevant sectors, capable of safely and accurately detecting and characterizing pathogens causing || P4 (Antimicrobial resistance (AMR)) [0.2997]: Decisive and comprehensive action to prevent the emergence and spread of AMR, which poses a substantial and evolving threat to disease control and health securi",,,no_supported_mapping,,,,D2:no_inclusion_cue_overlap_and_moderate_or_low_similarity; D1:no_inclusion_cue_overlap_and_moderate_or_low_similarity; P4:unlikely_area_without_textual_inclusion_support,To continue to tighten the national measures and implement a tiered system on October 14th.,False,True,commitment_to_follow_through:0.2158; useful_information:0.1866; clear_values:0.1850,0.2158; 0.1866; 0.1850,"commitment_to_follow_through (Commitment to follow through) [0.2158]: Evidence of intent or mechanism to implement or act on the chosen course. || useful_information (Useful information) [0.1866]: Relevant facts, data, modelling, advice or uncertainty characterisation used in the passage. || clear_values (Clear values) [0.1850]: Stated preferences, priorities or trade-offs that identify what mattered in the choice.",commitment_to_follow_through,,ambiguous,0.2158,,To continue to tighten the national measures and implement a tiered system on October 14th.,decided,recommendation≠commitment rule applied where relevant,Weak textual gate / moderate similarity,All top-3 retrieved JEE candidates rejected by inclusion/exclusion rules.,journal_cache_decision_evidence_source_quote__framework_card_embeddings,True,enacted_or_authorised_decision,no_mapping,,,,high,"The entry describes tightening national restrictions and introducing a tiered system, but it does not evidence a specific JEE preparedness or response-system capacity.",accept,commitment_to_follow_through,,"With respect, what we decided to do was to continue to tighten the measures that we -- the national measures that we had, but also on October 14th to go for the tiered system.",high,The excerpt records an authorised course of action and specifies the date for implementing the tiered system.,policy_content,"This entry records an enacted decision to tighten national measures and introduce a tiered system on a specified date. It does not demonstrate a particular JEE system capacity, but it clearly shows commitment to follow through.",AL,2026-07-26,complete,,2026-07-26T13:37:07.946737+00:00,2026-07-26T14:55:35.244192+00:00,ebae2a587e34
phase1-161,2023-12-11,Close schools in London and nationally.,"The priority intervention that had been recommended, suggested by SAGE, was to close schools. And we did that. The Prime Minister announced that I think on the same day as the meeting, on the 18th, not just in London but nationally.","The priority intervention that had been recommended, suggested by SAGE, was to close schools. And we did that. The Prime Minister announced that I think on the same day as the meeting, on the 18th, not just in London but nationally.",False,[],other_candidate,R1:0.3091; P4:0.2951; PoE:0.2942,0.3091; 0.2951; 0.2942,"R1 (Health emergency management) [0.3091]: Multisectoral actors at national intermediate and primary public health response levels are well coordinated and have a common understanding of the priority ris || P4 (Antimicrobial resistance (AMR)) [0.2951]: Decisive and comprehensive action to prevent the emergence and spread of AMR, which poses a substantial and evolving threat to disease control and health securi || PoE (Points of entry and border health) [0.2942]: Timely detection of and effective response to any potential hazards that occur at PoEs.",,,no_supported_mapping,,,,R1:no_inclusion_cue_overlap_and_moderate_or_low_similarity; P4:unlikely_area_without_textual_inclusion_support; PoE:no_inclusion_cue_overlap_and_moderate_or_low_similarity,Close schools in London and nationally.,False,True,useful_information:0.2516; commitment_to_follow_through:0.2355; clear_values:0.2167,0.2516; 0.2355; 0.2167,"useful_information (Useful information) [0.2516]: Relevant facts, data, modelling, advice or uncertainty characterisation used in the passage. || commitment_to_follow_through (Commitment to follow through) [0.2355]: Evidence of intent or mechanism to implement or act on the chosen course. || clear_values (Clear values) [0.2167]: Stated preferences, priorities or trade-offs that identify what mattered in the choice.",clear_values,,ambiguous,0.2167,,Close schools in London and nationally.,priority,recommendation≠commitment rule applied where relevant,Weak textual gate / moderate similarity,All top-3 retrieved JEE candidates rejected by inclusion/exclusion rules.,journal_cache_decision_evidence_source_quote__framework_card_embeddings,True,implementation_statement,no_mapping,,,,high,The entry records a national school-closure measure but does not provide evidence of a specific JEE preparedness or response-system capacity.,replace,commitment_to_follow_through,useful_information,"The priority intervention that had been recommended, suggested by SAGE, was to close schools. And we did that.",high,"The passage presents the content of SAGE's recommendation—to close schools—and confirms that the measure was implemented and announced nationally. Implementation is the strongest observable element, with the specific advice as secondary useful information.",policy_content,"This passage records implementation and national announcement of a school-closure measure following a specific SAGE recommendation. It shows commitment to follow through and observable use of advice, but it does not evidence a specific JEE capacity.",AL,2026-07-26,complete,,2026-07-26T13:41:28.690631+00:00,2026-07-26T13:41:28.690631+00:00,70f38e4f78b9
phase1-314,2023-12-14,The inquiry acknowledges that pandemic pre-planning was catastrophically inadequate.,"Pandemic pre-planning was catastrophically inadequate, and was characterised by... successive governments' lack of engagement.","Pandemic pre-planning was catastrophically inadequate, and was characterised by... successive governments' lack of engagement.",False,[],other_candidate,R1:0.3818; P2:0.3644; P3:0.3579,0.3818; 0.3644; 0.3579,"R1 (Health emergency management) [0.3818]: Multisectoral actors at national intermediate and primary public health response levels are well coordinated and have a common understanding of the priority ris || P2 (Financing) [0.3644]: Financial resources are available in all relevant sectors and public financial management systems enable IHR implementation including core capacity development  || P3 (IHR coordination, National IHR Focal Point functions and advocacy) [0.3579]: A mechanism for multisectoral/multidisciplinary coordination, communication and partnerships to detect, assess and respond to any public health event or risk. A",P3,,ambiguous_substantive,0.3579,,inclusion cue token overlap: ['planning'],R1:retrieval_neighbour_without_inclusion_support; P2:retrieval_neighbour_without_inclusion_support,The inquiry acknowledges that pandemic pre-planning was catastrophically inadequate.,True,False,useful_information:0.3578; commitment_to_follow_through:0.3249; creative_alternatives:0.2966,0.3578; 0.3249; 0.2966,"useful_information (Useful information) [0.3578]: Relevant facts, data, modelling, advice or uncertainty characterisation used in the passage. || commitment_to_follow_through (Commitment to follow through) [0.3249]: Evidence of intent or mechanism to implement or act on the chosen course. || creative_alternatives (Creative alternatives) [0.2966]: Evidence that more than one actionable option or course of action was generated or compared.",,,insufficient_evidence,,,,,top retrieved DQ cards lacked explicit process evidence in text,Sparse DQ is acceptable; non-observation ≠ absence.,Low margin / weak cue overlap,journal_cache_decision_evidence_source_quote__framework_card_embeddings,True,retrospective_judgement,insufficient_evidence,,,,high,"The passage judges pandemic pre-planning and government engagement to have been inadequate, but it does not identify a particular coordination mechanism, IHR function or other specific JEE capacity.",insufficient_evidence,,,,high,"The passage judges preparedness as inadequate but does not show observable evidence of framing, alternatives, information use, values, reasoning or implementation commitment.",policy_content,This traceability-failed passage is a substantive retrospective judgement that pandemic pre-planning was catastrophically inadequate and marked by poor government engagement. It is too general for a specific JEE mapping and does not show an observable Decision Quality element.,AL,2026-07-26,complete,,2026-07-26T13:47:27.525786+00:00,2026-07-26T13:47:27.525786+00:00,70f38e4f78b9
phase1-321,2023-12-14,"The ultimate lesson from the timing of the first lockdown is to act earlier, harder, and more broadly with necessary interventions.","The ultimate lesson from the timing of the first lockdown is simply that, as Sir Patrick has put it to you, you have to go earlier than you would like, harder than you would like, and more geographically broad than you would like, with the necessary interventions.","The ultimate lesson from the timing of the first lockdown is simply that, as Sir Patrick has put it to you, you have to go earlier than you would like, harder than you would like, and more geographically broad than you would like, with the necessary interventions.",True,[],other_candidate,P4:0.3330; R1:0.3298; PoE:0.3117,0.3330; 0.3298; 0.3117,"P4 (Antimicrobial resistance (AMR)) [0.3330]: Decisive and comprehensive action to prevent the emergence and spread of AMR, which poses a substantial and evolving threat to disease control and health securi || R1 (Health emergency management) [0.3298]: Multisectoral actors at national intermediate and primary public health response levels are well coordinated and have a common understanding of the priority ris || PoE (Points of entry and border health) [0.3117]: Timely detection of and effective response to any potential hazards that occur at PoEs.",,,no_supported_mapping,,,,P4:unlikely_area_without_textual_inclusion_support; R1:no_inclusion_cue_overlap_and_moderate_or_low_similarity; PoE:no_inclusion_cue_overlap_and_moderate_or_low_similarity,"The ultimate lesson from the timing of the first lockdown is to act earlier, harder, and more broadly with necessary interventions.",False,True,commitment_to_follow_through:0.2703; clear_values:0.2599; useful_information:0.2509,0.2703; 0.2599; 0.2509,"commitment_to_follow_through (Commitment to follow through) [0.2703]: Evidence of intent or mechanism to implement or act on the chosen course. || clear_values (Clear values) [0.2599]: Stated preferences, priorities or trade-offs that identify what mattered in the choice. || useful_information (Useful information) [0.2509]: Relevant facts, data, modelling, advice or uncertainty characterisation used in the passage.",,,insufficient_evidence,,,,,top retrieved DQ cards lacked explicit process evidence in text,Sparse DQ is acceptable; non-observation ≠ absence.,All top-3 retrieved JEE candidates rejected by inclusion/exclusion rules.,journal_cache_decision_evidence_source_quote__framework_card_embeddings,True,retrospective_judgement,no_mapping,,,,high,"The passage gives a general retrospective lesson about the timing, intensity and geographic scope of interventions but does not evidence a specific JEE system capacity.",replace,helpful_frame,,"you have to go earlier than you would like, harder than you would like, and more geographically broad than you would like, with the necessary interventions.",medium,"The passage defines three decision dimensions for future intervention—timing, intensity and geographic scope—providing observable evidence of a helpful frame, although it does not show the full analysis behind a particular decision.",policy_content,"This traceable passage is a retrospective policy judgement that necessary interventions should be introduced earlier, more intensively and across a broader geographic area. It does not support a specific JEE capacity, but it provides a helpful frame for future intervention decisions. It is substantive policy content rather than mixed merely because it was expressed during the Inquiry.",AL,2026-07-26,complete,,2026-07-26T13:52:19.711646+00:00,2026-07-26T13:52:19.711646+00:00,3cf4e4477eec
phase1-396,2024-05-23,The government failed to demonstrate publicly that it was considering any possible alternative to a lockdown.,The government has been very severely criticised for at least appearing not to have considered anything but a public health driven lockdown.,the government has been very severely criticised for at least appearing not to have considered anything but -- a public health driven lockdown?,False,[],retrospective_judgement,R1:0.2946; R2:0.2892; P2:0.2866,0.2946; 0.2892; 0.2866,"R1 (Health emergency management) [0.2946]: Multisectoral actors at national intermediate and primary public health response levels are well coordinated and have a common understanding of the priority ris || R2 (Linking public health and security authorities) [0.2892]: Development and implementation of a MoU or other similar framework outlining roles, responsibilities and best practices for sharing relevant information between || P2 (Financing) [0.2866]: Financial resources are available in all relevant sectors and public financial management systems enable IHR implementation including core capacity development ",,,no_supported_mapping,,,,R1:no_inclusion_cue_overlap_and_moderate_or_low_similarity; R2:no_inclusion_cue_overlap_and_moderate_or_low_similarity; P2:no_inclusion_cue_overlap_and_moderate_or_low_similarity,The government failed to demonstrate publicly that it was considering any possible alternative to a lockdown.,False,True,creative_alternatives:0.3777; useful_information:0.3442; clear_values:0.3356,0.3777; 0.3442; 0.3356,"creative_alternatives (Creative alternatives) [0.3777]: Evidence that more than one actionable option or course of action was generated or compared. || useful_information (Useful information) [0.3442]: Relevant facts, data, modelling, advice or uncertainty characterisation used in the passage. || clear_values (Clear values) [0.3356]: Stated preferences, priorities or trade-offs that identify what mattered in the choice.",creative_alternatives,,observable,0.3777,,The government failed to demonstrate publicly that it was considering any possible alternative to a lockdown.,alternative,recommendation≠commitment rule applied where relevant,,All top-3 retrieved JEE candidates rejected by inclusion/exclusion rules.,journal_cache_decision_evidence_source_quote__framework_card_embeddings,True,insufficient_evidence,insufficient_evidence,,,,high,The Source Quote is an Inquiry question about criticism of the government's apparent consideration of alternatives and contains no answer or evidence of a JEE capacity.,insufficient_evidence,,,,high,"A question alleging that alternatives may not have been considered does not show whether alternatives were generated, compared or publicly demonstrated.",policy_content,"This traceability-failed excerpt is an Inquiry question concerning criticism that the government appeared not to consider alternatives to lockdown. Because no answer is present, it does not establish the generated assertion, a JEE mapping or an observable Decision Quality element.",AL,2026-07-26,complete,,2026-07-26T13:56:17.126181+00:00,2026-07-26T13:56:17.126181+00:00,4b14f543180c
phase1-111,2023-12-01,Long Covid clinics were opened.,"The decision to open Long Covid clinics was made, and many of them are still open today.","We did open Long Covid clinics, many of them are still open today.",True,[],other_candidate,R3:0.2364; D1:0.2282; R4:0.2280,0.2364; 0.2282; 0.2280,"R3 (Health services provision) [0.2364]: Resilient health systems that are capable of delivering emergency related clinical care, and optimal utilization of health services while ensuring continuity of || D1 (National laboratory system) [0.2282]: Effective use of a nationwide laboratory system, including all relevant sectors, capable of safely and accurately detecting and characterizing pathogens causing || R4 (Infection prevention and control) [0.2280]: Prevent HCAIs and emergence and spread of AMR.",,,no_supported_mapping,,,,R3:no_inclusion_cue_overlap_and_moderate_or_low_similarity; D1:no_inclusion_cue_overlap_and_moderate_or_low_similarity; R4:no_inclusion_cue_overlap_and_moderate_or_low_similarity,Long Covid clinics were opened.,False,True,useful_information:0.2367; clear_values:0.1871; helpful_frame:0.1845,0.2367; 0.1871; 0.1845,"useful_information (Useful information) [0.2367]: Relevant facts, data, modelling, advice or uncertainty characterisation used in the passage. || clear_values (Clear values) [0.1871]: Stated preferences, priorities or trade-offs that identify what mattered in the choice. || helpful_frame (Helpful frame) [0.1845]: Clarifying what is being decided and what is not, including purpose, scope and perspective (Decision Education Foundation).",,,insufficient_evidence,,,,,top retrieved DQ cards lacked explicit process evidence in text,Sparse DQ is acceptable; non-observation ≠ absence.,All top-3 retrieved JEE candidates rejected by inclusion/exclusion rules.,journal_cache_decision_evidence_source_quote__framework_card_embeddings,True,implementation_statement,replace,R3,,"We did open Long Covid clinics, many of them are still open today.",high,Opening Long Covid clinics is direct evidence of health-service provision for people requiring post-COVID clinical care,replace,commitment_to_follow_through,,"We did open Long Covid clinics, many of them are still open today.",high,"The passage confirms that Long Covid clinics were opened and continued operating, providing direct evidence that the service action was implemented.",policy_content,"This traceable passage records implementation and continued operation of Long Covid clinics. It maps directly to R3 Health services provision and demonstrates commitment to follow through, but it records implementation rather than the separate authorisation decision.",AL,2026-07-26,complete,,2026-07-26T13:58:51.914412+00:00,2026-07-26T13:58:51.914412+00:00,4b14f543180c
