stage,repetition,configuration,excerpt_id,manual_decision_id,manual_decision_text,candidate_id,candidate_decision_text,candidate_quote,traceability_status,match_outcome,matching_basis
stage1,1,w5_o1,excerpt_001,m1,"On 18 March 2020, COBR decided to close schools from 20 March.",c1,"COBR decided that there needed to be further, more stringent measures, including household isolation for 14 days and reduced contact advice for over 70s.","COBR decided that there needed to be further, more stringent measures, and you will recall the household isolation for 14 days, reduced contact advice, over 70s particularly must ensure that they reduce contact.",True,not_recovered,none
stage1,1,w5_o1,excerpt_001,m1,"On 18 March 2020, COBR decided to close schools from 20 March.",c2,COBR decided to close schools from the 20th.,"On the 18th, COBR decided to close schools from the 20th.",True,recovered,mechanical_and_semantic
stage1,1,w5_o1,excerpt_001,m1,"On 18 March 2020, COBR decided to close schools from 20 March.",c3,COBR decided to close schools from the 20th.,"On the 18th, COBR decided to close schools from the 20th, just in very general terms.",True,recovered,mechanical_and_semantic
stage1,1,w5_o1,excerpt_001,,,c1,"COBR decided that there needed to be further, more stringent measures, including household isolation for 14 days and reduced contact advice for over 70s.","COBR decided that there needed to be further, more stringent measures, and you will recall the household isolation for 14 days, reduced contact advice, over 70s particularly must ensure that they reduce contact.",True,unmatched_candidate,none
stage1,1,w5_o1,excerpt_002,m1,"At the 29 October 2020 COVID-O meeting, the committee agreed to an ambitious package of measures to prevent transmission among disproportionately impacted groups, focusing on ethnic minority communities.",c1,An ambitious package of measures to prevent transmission to and within groups disproportionately impacted by COVID-19 was agreed upon.,"At the 29 October meeting of COVID-O, the committee agreed to an ambitious package of measures to prevent transmission to and within groups that have been disproportionately impacted by COVID-19, focusing in particular on ethnic minority communities.",False,recovered,mechanical_and_semantic
stage1,1,w5_o1,excerpt_002,m1,"At the 29 October 2020 COVID-O meeting, the committee agreed to an ambitious package of measures to prevent transmission among disproportionately impacted groups, focusing on ethnic minority communities.",c2,Departments were asked for a more ambitious package to prevent disproportionate impacts from COVID-19 for people with disabilities.,"The Prime Minister and CDL also asked departments, in slower time, for a more ambitious package that can prevent disproportionate impacts from COVID-19 for people with disabilities.",True,not_recovered,none
stage1,1,w5_o1,excerpt_002,m2,The Prime Minister and CDL asked departments to develop a more ambitious package (on a slower timeline) to prevent disproportionate COVID-19 impacts on people with disabilities.,c1,An ambitious package of measures to prevent transmission to and within groups disproportionately impacted by COVID-19 was agreed upon.,"At the 29 October meeting of COVID-O, the committee agreed to an ambitious package of measures to prevent transmission to and within groups that have been disproportionately impacted by COVID-19, focusing in particular on ethnic minority communities.",False,not_recovered,none
stage1,1,w5_o1,excerpt_002,m2,The Prime Minister and CDL asked departments to develop a more ambitious package (on a slower timeline) to prevent disproportionate COVID-19 impacts on people with disabilities.,c2,Departments were asked for a more ambitious package to prevent disproportionate impacts from COVID-19 for people with disabilities.,"The Prime Minister and CDL also asked departments, in slower time, for a more ambitious package that can prevent disproportionate impacts from COVID-19 for people with disabilities.",True,recovered,mechanical_and_semantic
stage1,1,w5_o2,excerpt_001,m1,"On 18 March 2020, COBR decided to close schools from 20 March.",c1,"COBR decided that there needed to be further, more stringent measures, including household isolation for 14 days and reduced contact advice for over 70s.","COBR decided that there needed to be further, more stringent measures, and you will recall the household isolation for 14 days, reduced contact advice, over 70s particularly must ensure that they reduce contact.",True,not_recovered,none
stage1,1,w5_o2,excerpt_001,m1,"On 18 March 2020, COBR decided to close schools from 20 March.",c2,COBR decided to close schools from the 20th.,"On the 18th, COBR decided to close schools from the 20th.",True,recovered,mechanical_and_semantic
