deck,slide_number,slide_id,title,principal_claim,evidence_source,evidence_key,evidence_hash,visual_asset,human_adjudicated,caveat,speaker_time_seconds,fallback_status,validation_status
primary_15min,1,S01,Generated text is not authoritative evidence,"This talk evaluates a governed workflow that keeps machine candidates, automated checks, human validation and source evidence visibly separate — not a deployed decision engine.",handbook + freeze convention,n/a,n/a,native_shapes,mixed,"Not live, not deployed, not automatically authoritative.",45,included,generated
primary_15min,2,S02,"Inquiry transcripts hide decisions in long, mixed discourse","Public inquiry text holds decision evidence that is lengthy, dispersed and easy to mis-extract as if authoritative.",dissertation/CHAPTER_1_INTRODUCTION.md,§§1.1–1.2,n/a,native_shapes,mixed,"Module 2 is a case study, not the sole purpose.",60,included,generated
primary_15min,3,S03,Aim: traceable candidates under human oversight,"To design and evaluate an LLM-assisted method for creating traceable candidate decision-journal entries from complex public records, using UK COVID-19 Inquiry Module 2 transcripts ",dissertation/CHAPTER_1_INTRODUCTION.md,§1.3 aim,n/a,native_shapes,mixed,Do not rewrite the aim into a stronger claim.,75,included,generated
primary_15min,4,S04,"Generation, checks, human review and source stay separate",Later stages do not retrospectively turn machine-generated text into authoritative evidence.,Ch3 + demo workflow,governed pipeline,n/a,native_shapes,mixed,Research prototype — not production deployment.,90,included,generated
primary_15min,5,S05,"Evaluation is layered, not a single accuracy number",Bounded lenses answer different questions — none alone is “system accuracy”.,docs/examiner_evidence/EXAMINER_EVIDENCE_MAP.md,eval layers,n/a,native_shapes,mixed,Do not report a single overall accuracy.,90,removed_in_fallback,generated
primary_15min,6,S06,Traceable candidates are common; journal-ready ones are not,Pass rates ≠ acceptance. no × high and moderate κ matter more than volume.,phase1_decision_journal.json + eval JSON + Audit E,multi,814cc7c4… / Audit E,native_shapes,yes,Candidates are not accepted decisions.,120,included,generated
primary_15min,7,S07,Quote support ≠ journal membership (phase1-082),Quotation support does not by itself establish decision-journal validity.,demo/evidence/phase1-082.json,rubric_a=no rubric_b=high,9b131dc2b403f51a3a1de366ee56793c6ff255986a57e683d525297963cca2c0,native_shapes,yes,Extraction tracked the wording; human criterion rejected journal membership.,120,included,generated
primary_15min,8,S08,"Alignment, faithfulness failure and interpretive mapping",Three verified contrasts; detail remains in the offline demo if requested.,"demo/evidence/phase1-{016,090,246}.json",three cases,see Wave 4 hashes,native_shapes,yes,Framework mapping is not a judgement that performance was good.,90,removed_in_fallback,generated
primary_15min,9,S09,Contribution is governance of the AI–source–human route,Not a new SOTA extraction algorithm — a governed review process.,Ch1.6 / Ch5,contributions,n/a,native_shapes,mixed,Does not claim deployment readiness.,60,included,generated
primary_15min,10,S10,"Claims stay bounded to one case, one model, one reviewer","Feasibility evidence, not general policy truth or deployment readiness.",Ch1.4 / Ch5 / reproducibility limits,limitations,n/a,native_shapes,mixed,Do not convert limits into soft claims of strength.,75,removed_in_fallback,generated
primary_15min,11,S11,Next steps are replication and multi-reviewer checks,Extend evaluation governance — not “add a chatbot and deploy”.,Ch5 future work,extensions,n/a,native_shapes,mixed,Not a deployment commitment.,45,removed_in_fallback,generated
primary_15min,12,S12,Make the route from source to interpretation inspectable,The system does not replace authoritative inquiry evidence or human policy judgement. It makes the route from source evidence to machine-generated candidate and human interpretatio,closing statement,close_quote,n/a,native_shapes,mixed,Presentation is complete without the live demo.,60,included,generated
fallback_10min,1,S01,Generated text is not authoritative evidence,"This talk evaluates a governed workflow that keeps machine candidates, automated checks, human validation and source evidence visibly separate — not a deployed decision engine.",handbook + freeze convention,n/a,n/a,native_shapes,mixed,"Not live, not deployed, not automatically authoritative.",40,included,generated
fallback_10min,2,S02,"Inquiry transcripts hide decisions in long, mixed discourse","Public inquiry text holds decision evidence that is lengthy, dispersed and easy to mis-extract as if authoritative.",dissertation/CHAPTER_1_INTRODUCTION.md,§§1.1–1.2,n/a,native_shapes,mixed,"Module 2 is a case study, not the sole purpose.",55,included,generated
fallback_10min,3,S03,Aim: traceable candidates under human oversight,"To design and evaluate an LLM-assisted method for creating traceable candidate decision-journal entries from complex public records, using UK COVID-19 Inquiry Module 2 transcripts ",dissertation/CHAPTER_1_INTRODUCTION.md,§1.3 aim,n/a,native_shapes,mixed,Do not rewrite the aim into a stronger claim.,55,included,generated
fallback_10min,4,S04,"Generation, checks, human review and source stay separate",Later stages do not retrospectively turn machine-generated text into authoritative evidence.,Ch3 + demo workflow,governed pipeline,n/a,native_shapes,mixed,Research prototype — not production deployment.,70,included,generated
fallback_10min,5,S06,Traceable candidates are common; journal-ready ones are not,Pass rates ≠ acceptance. no × high and moderate κ matter more than volume.,phase1_decision_journal.json + eval JSON + Audit E,multi,814cc7c4… / Audit E,native_shapes,yes,Candidates are not accepted decisions.,100,included,generated
fallback_10min,6,S07,Quote support ≠ journal membership (phase1-082),Quotation support does not by itself establish decision-journal validity.,demo/evidence/phase1-082.json,rubric_a=no rubric_b=high,9b131dc2b403f51a3a1de366ee56793c6ff255986a57e683d525297963cca2c0,native_shapes,yes,Extraction tracked the wording; human criterion rejected journal membership.,110,included,generated
fallback_10min,7,S09,Contribution is governance of the AI–source–human route,Not a new SOTA extraction algorithm — a governed review process.,Ch1.6 / Ch5,contributions,n/a,native_shapes,mixed,Does not claim deployment readiness.,55,included,generated
fallback_10min,8,S12,Make the route from source to interpretation inspectable,The system does not replace authoritative inquiry evidence or human policy judgement. It makes the route from source evidence to machine-generated candidate and human interpretatio,closing statement,close_quote,n/a,native_shapes,mixed,Presentation is complete without the live demo.,115,included,generated
