entry_id,approved_traceability_category,source_of_classification,reviewer_basis,approval_status
phase1-003,substantively_faithful_paraphrase,outputs\framework_mapping\run_20260727_131920_audit_E_human_approval_check\AUDIT_E_TRACEABILITY_METRIC_CHECK.csv,"Single-reviewer human classification from source passages, traceability_ok field, and adjudication rationales (human-approval gate)",human_approved_2026-07-27
phase1-007,traceability_false,outputs\framework_mapping\run_20260727_131920_audit_E_human_approval_check\AUDIT_E_TRACEABILITY_METRIC_CHECK.csv,"Single-reviewer human classification from source passages, traceability_ok field, and adjudication rationales (human-approval gate)",human_approved_2026-07-27
phase1-018,materially_unsupported_or_altered,outputs\framework_mapping\run_20260727_131920_audit_E_human_approval_check\AUDIT_E_TRACEABILITY_METRIC_CHECK.csv,"Single-reviewer human classification from source passages, traceability_ok field, and adjudication rationales (human-approval gate)",human_approved_2026-07-27
phase1-020,materially_unsupported_or_altered,outputs\framework_mapping\run_20260727_131920_audit_E_human_approval_check\AUDIT_E_TRACEABILITY_METRIC_CHECK.csv,"Single-reviewer human classification from source passages, traceability_ok field, and adjudication rationales (human-approval gate)",human_approved_2026-07-27
phase1-033,materially_unsupported_or_altered,outputs\framework_mapping\run_20260727_131920_audit_E_human_approval_check\AUDIT_E_TRACEABILITY_METRIC_CHECK.csv,"Single-reviewer human classification from source passages, traceability_ok field, and adjudication rationales (human-approval gate)",human_approved_2026-07-27
phase1-042,materially_unsupported_or_altered,outputs\framework_mapping\run_20260727_131920_audit_E_human_approval_check\AUDIT_E_TRACEABILITY_METRIC_CHECK.csv,"Single-reviewer human classification from source passages, traceability_ok field, and adjudication rationales (human-approval gate)",human_approved_2026-07-27
phase1-048,substantively_faithful_paraphrase,outputs\framework_mapping\run_20260727_131920_audit_E_human_approval_check\AUDIT_E_TRACEABILITY_METRIC_CHECK.csv,"Single-reviewer human classification from source passages, traceability_ok field, and adjudication rationales (human-approval gate)",human_approved_2026-07-27
phase1-050,materially_unsupported_or_altered,outputs\framework_mapping\run_20260727_131920_audit_E_human_approval_check\AUDIT_E_TRACEABILITY_METRIC_CHECK.csv,"Single-reviewer human classification from source passages, traceability_ok field, and adjudication rationales (human-approval gate)",human_approved_2026-07-27
phase1-053,materially_unsupported_or_altered,outputs\framework_mapping\run_20260727_131920_audit_E_human_approval_check\AUDIT_E_TRACEABILITY_METRIC_CHECK.csv,"Single-reviewer human classification from source passages, traceability_ok field, and adjudication rationales (human-approval gate)",human_approved_2026-07-27
phase1-057,materially_unsupported_or_altered,outputs\framework_mapping\run_20260727_131920_audit_E_human_approval_check\AUDIT_E_TRACEABILITY_METRIC_CHECK.csv,"Single-reviewer human classification from source passages, traceability_ok field, and adjudication rationales (human-approval gate)",human_approved_2026-07-27
phase1-059,materially_unsupported_or_altered,outputs\framework_mapping\run_20260727_131920_audit_E_human_approval_check\AUDIT_E_TRACEABILITY_METRIC_CHECK.csv,"Single-reviewer human classification from source passages, traceability_ok field, and adjudication rationales (human-approval gate)",human_approved_2026-07-27
phase1-079,substantively_faithful_paraphrase,outputs\framework_mapping\run_20260727_131920_audit_E_human_approval_check\AUDIT_E_TRACEABILITY_METRIC_CHECK.csv,"Single-reviewer human classification from source passages, traceability_ok field, and adjudication rationales (human-approval gate)",human_approved_2026-07-27
phase1-082,substantively_faithful_paraphrase,outputs\framework_mapping\run_20260727_131920_audit_E_human_approval_check\AUDIT_E_TRACEABILITY_METRIC_CHECK.csv,"Single-reviewer human classification from source passages, traceability_ok field, and adjudication rationales (human-approval gate)",human_approved_2026-07-27
phase1-084,materially_unsupported_or_altered,outputs\framework_mapping\run_20260727_131920_audit_E_human_approval_check\AUDIT_E_TRACEABILITY_METRIC_CHECK.csv,"Single-reviewer human classification from source passages, traceability_ok field, and adjudication rationales (human-approval gate)",human_approved_2026-07-27
phase1-090,materially_unsupported_or_altered,outputs\framework_mapping\run_20260727_131920_audit_E_human_approval_check\AUDIT_E_TRACEABILITY_METRIC_CHECK.csv,"Single-reviewer human classification from source passages, traceability_ok field, and adjudication rationales (human-approval gate)",human_approved_2026-07-27
phase1-106,materially_unsupported_or_altered,outputs\framework_mapping\run_20260727_131920_audit_E_human_approval_check\AUDIT_E_TRACEABILITY_METRIC_CHECK.csv,"Single-reviewer human classification from source passages, traceability_ok field, and adjudication rationales (human-approval gate)",human_approved_2026-07-27
phase1-111,substantively_faithful_paraphrase,outputs\framework_mapping\run_20260727_131920_audit_E_human_approval_check\AUDIT_E_TRACEABILITY_METRIC_CHECK.csv,"Single-reviewer human classification from source passages, traceability_ok field, and adjudication rationales (human-approval gate)",human_approved_2026-07-27
phase1-112,substantively_faithful_paraphrase,outputs\framework_mapping\run_20260727_131920_audit_E_human_approval_check\AUDIT_E_TRACEABILITY_METRIC_CHECK.csv,"Single-reviewer human classification from source passages, traceability_ok field, and adjudication rationales (human-approval gate)",human_approved_2026-07-27
phase1-113,substantively_faithful_paraphrase,outputs\framework_mapping\run_20260727_131920_audit_E_human_approval_check\AUDIT_E_TRACEABILITY_METRIC_CHECK.csv,"Single-reviewer human classification from source passages, traceability_ok field, and adjudication rationales (human-approval gate)",human_approved_2026-07-27
phase1-114,exact_or_near_verbatim,outputs\framework_mapping\run_20260727_131920_audit_E_human_approval_check\AUDIT_E_TRACEABILITY_METRIC_CHECK.csv,"Single-reviewer human classification from source passages, traceability_ok field, and adjudication rationales (human-approval gate)",human_approved_2026-07-27
