entry_id,traceability_ok,audit_e_string_divergence_rule,decision_source_similarity,classification,human_rationale_flags_unsupported_content,source_quote_excerpt,decision_excerpt
phase1-007,False,True,0.332,traceability_false,True,"Now of course, as it happened, you are well aware, that on 12 March the first co...","Countermeasures were ordered to be imposed on 12 March, requiring those displayi..."
phase1-018,True,True,0.700,materially_unsupported_or_altered,True,I believe that he made the case for it in public well....,The witness believes the Prime Minister made the case for his decision in public...
phase1-050,True,True,0.263,materially_unsupported_or_altered,True,"Yes, the department was drafting what became the action plan....",An action plan for infection control measures was drafted by the department....
phase1-057,True,True,0.296,materially_unsupported_or_altered,True,You requested in an email to Kevin Dodds that the work be commenced. It was deve...,An action plan was commissioned by the government on 10 February....
phase1-124,True,True,0.519,substantively_faithful_paraphrase,False,"With respect, what we decided to do was to continue to tighten the measures that...",To continue to tighten the national measures and implement a tiered system on Oc...
phase1-161,False,True,0.007,traceability_false,False,"The priority intervention that had been recommended, suggested by SAGE, was to c...",Close schools in London and nationally....
phase1-314,False,True,0.514,traceability_false,True,"Pandemic pre-planning was catastrophically inadequate, and was characterised by....",The inquiry acknowledges that pandemic pre-planning was catastrophically inadequ...
phase1-321,True,True,0.466,materially_unsupported_or_altered,True,"The ultimate lesson from the timing of the first lockdown is simply that, as Sir...","The ultimate lesson from the timing of the first lockdown is to act earlier, har..."
phase1-396,False,True,0.476,traceability_false,True,the government has been very severely criticised for at least appearing not to h...,The government failed to demonstrate publicly that it was considering any possib...
phase1-111,True,True,0.598,substantively_faithful_paraphrase,False,"We did open Long Covid clinics, many of them are still open today....",Long Covid clinics were opened....
phase1-217,True,True,0.494,substantively_faithful_paraphrase,False,In Module 1 we've asked to you conclude and recommend that the UK should have a ...,The UK should have a standing scientific committee on pandemics....
phase1-246,True,False,0.968,exact_or_near_verbatim,True,"In May 2021 there was agreement between the DHSC, the PHE, NHS and the DfE that ...","There was agreement between the DHSC, the PHE, NHS and the DfE that messaging in..."
phase1-252,True,False,0.925,exact_or_near_verbatim,False,"My Lady, we invite you to recommend that the long-term health consequences of a ...",Recommend that the long-term health consequences of a novel virus are planned fo...
phase1-276,True,True,0.611,substantively_faithful_paraphrase,False,I very much intend to ensure that the impact on children is fully investigated....,The impact on children will be fully investigated in the Inquiry....
